,parametric,historical,cornish_fisher,monte_carlo,cvar
95%,0.019718961900282796,0.019075695128086524,0.020756447585596756,0.018822242803677947,0.03029093273661137
99%,0.028307577174414535,0.03498140787292955,0.0650444807026287,0.03529484448343834,0.05279004750904457
