,CAGR,Ann.Vol,Sharpe,Sortino,MaxDD,Calmar,Beta,Alpha,InfoRatio,HitRate,Ann.Return,Ulcer,Skew,Kurtosis,Treynor
min_variance + vol forecast,0.16684219030312453,0.1623988986118551,0.6442106482683696,0.8927325200866941,-0.30452392462612055,0.5478787602910514,0.7513135277707016,0.052630555055047885,0.34037514246199113,0.5617977528089888,0.1676017682707759,0.09386066330566731,-0.7702039224130606,16.563975078452927,0.1365631849797993
risk_parity + vol forecast,0.20779870961555047,0.1813765722285598,0.7855126475621916,1.069182021174677,-0.33386278421578486,0.6224075262046708,0.8747346596402813,0.08194469071123377,0.743211633366179,0.5617977528089888,0.2054562599749746,0.09485350229728766,-1.1135271042007393,15.760523049788981,0.1605701322418557
min_variance (historical vol),0.18622234106647628,0.16485053382251197,0.7370365887492818,1.0247376667860202,-0.30777406953547626,0.6050618278126609,0.7533684146981497,0.06937013866018196,0.4876229573686305,0.6404494382022472,0.18448354362000582,0.09350879805237941,-0.7135541277652518,16.725582578848638,0.15859908816044405
risk_parity (historical vol),0.21175559598363525,0.1819226201377944,0.8016853085433753,1.0920547756476102,-0.33328222931941787,0.6353641969331901,0.8738756214049542,0.08537523386771881,0.7675373222327372,0.5730337078651685,0.20882736037415042,0.09536995735515393,-1.0949948523766206,15.662071073616369,0.16458561933895713
