,CAGR,Ann.Vol,Sharpe,Sortino,MaxDD,Calmar,Beta,Alpha,InfoRatio,HitRate,AvgTurnover,Ann.Return,Ulcer,Skew,Kurtosis,Treynor
score_based/conservative,0.14685041008610344,0.1439513616324388,0.5868864316586317,0.8192040762055203,-0.28207745234362636,0.5206031494754515,0.6471977859996492,0.0396990397373498,0.14181835454000197,0.5056179775280899,0.1930219409627167,0.1474657694788268,0.08422134674714804,-0.8023496688131757,19.379078218702453,0.12741973360037345
score_based/balanced,0.22664519306372188,0.2244687269019526,0.7431314900941467,1.0146487110988989,-0.3478749876836136,0.6515133340654311,0.9236935621000409,0.10289307593534604,0.6277174926533977,0.5393258426966292,0.29910010007702775,0.22979244802014762,0.11600325539129319,-0.9983602947408846,10.205115501262792,0.17840597226366695
score_based/aggressive,0.33044072353808485,0.2721415714186564,0.9558326642480278,1.3245256339800442,-0.45966992234169035,0.7188652280199781,1.0836128683048534,0.18513918421307352,0.9798651426954099,0.5730337078651685,0.25186760736057223,0.3231044717797028,0.14629145054164067,-0.9652547802153499,8.223876447038538,0.23818882123785387
