,CAGR,Ann.Vol,Sharpe,Sortino,MaxDD,Calmar,Beta,Alpha,InfoRatio,HitRate,AvgTurnover,CostDrag,Ann.Return,Ulcer,Skew,Kurtosis,Treynor
equal_weight,0.264075863061525,0.20006044264186054,0.9580381335674804,1.2996625058225872,-0.3397683473349077,0.7772232614747568,0.8957045147255641,0.12968558398202978,0.9820873627470288,0.6067415730337079,0.2596148274087844,0.0040831626962396506,0.25464820158725554,0.09086000112896386,-1.15907326358483,11.018632690146982,0.21173076440879843
inverse_vol,0.24563750544233498,0.19325341514990635,0.9087019533081765,1.2293135028761324,-0.32940512174736203,0.7457003222637418,0.8790605574792347,0.11478151649294432,0.9024918459575909,0.6067415730337079,0.2669922503898516,0.004139189293139722,0.23859242434815936,0.08807883280106134,-1.2041861540406342,12.369402847513735,0.19747493260981622
min_variance,0.1849038083986041,0.17339738578566505,0.7028059268137213,0.9610874858940908,-0.3010726165444213,0.6141502024357062,0.7650923003517193,0.06892271778792158,0.45044454531134487,0.5168539325842697,0.34117959798283054,0.005040915045364747,0.18484737894213424,0.0929774490750477,-0.9308312452908706,11.383887262957389,0.1566443406724122
risk_parity,0.242284389175091,0.18917271839051564,0.90981655635479,1.2305620311650334,-0.32612020008992226,0.7429297207234788,0.8584021492939121,0.11271372905584068,0.881849031664735,0.5842696629213483,0.2705161005488864,0.0041834059474212815,0.23509513972029691,0.08841894013262672,-1.160435546760686,11.459007810643632,0.19815320809740572
max_sharpe,0.20946212027738564,0.2053792771155122,0.7230545658553172,0.9887821369881268,-0.3388400744925494,0.6181739883957894,0.8476418798011864,0.08984625887587953,0.5514678629429575,0.48314606741573035,0.304830108275052,0.0045916688259559635,0.2114830925683991,0.10770187437146846,-0.8572283525068412,7.824620535953349,0.17281247665907748
score_based,0.22664519306372188,0.2244687269019526,0.7431314900941467,1.0146487110988989,-0.3478749876836136,0.6515133340654311,0.9236935621000409,0.10289307593534604,0.6277174926533977,0.5393258426966292,0.29910010007702775,0.004564013642736731,0.22979244802014762,0.11600325539129319,-0.9983602947408846,10.205115501262792,0.17840597226366695
min_variance (sample cov),0.18264766915450514,0.17359262480501086,0.6912035938375928,0.9467896088889161,-0.30113090572133283,0.6065391020459643,0.7626829286523903,0.06721257447353628,0.4309892871046473,0.5056179775280899,0.34120445295305724,0.0050320496942939386,0.18297051464688788,0.09431650775562847,-0.8952729351596043,11.243140858205917,0.1546783207214745
Nifty 50 (buy & hold),0.1236226233706037,0.17585205386440242,0.39349480844137324,0.5343467946060657,-0.3843985245274212,0.3216001505796234,1.0,0.0,,0.0,,,0.1321795387673586,0.07743755242575485,-1.1257006974102046,18.482358530893542,0.0671795387673586
